,Role,Company,Location,Min_Salary,Max_Salary,Average_Salary,Employment Type,Min_Experience,Max_Experience,UG,PG,Doctorate,Key Skills,Industry Type,Department,Role Category,Date Posted,Openings,Applications,Reviews
560,full stack developer,optimum infosystem,['pune'],1800000.0,2750000.0,2275000.0,"full time, permanent",7,12,b.tech/b.e.,Not Specified,Not Specified,"['azure devops', 'ci/cd', 'cloud technologies', 'docker', 'java', 'java fullstack', 'kafka', 'kubernates', 'microservices', 'nosql', 'oracle', 'rabbitmq', 'react.js', 'spring boot']",financial services,engineering - software and qa,software development,27-08-2024,3,70,
561,full stack developer,a1 selectors,"['bangalore', 'chennai', 'hyderabad']",1200000.0,2000000.0,1600000.0,"full time, permanent",6,11,Any Graduate,Not Specified,Not Specified,"['angular', 'aws', 'cdk', 'hibernate', 'java fullstack', 'mongodb', 'spring boot', 'typescript']",it services and consulting,engineering - software and qa,software development,27-08-2024,1,62,
562,full stack developer,leading it,['delhi'],,,,"full time, permanent",6,11,Any Graduate,Not Specified,Not Specified,"['angular', 'artificial intelligence', 'aws', 'golang', 'node.js', 'python']",it services and consulting,engineering - software and qa,software development,09-09-2024,1,24,
563,full stack developer,mascot e-services,['noida'],750000.0,1600000.0,1175000.0,"full time, permanent",5,10,b.tech/b.e.,Not Specified,Not Specified,"['asp.net', 'c#', 'sql']",it services and consulting,engineering - software and qa,software development,09-09-2024,,81,
564,full stack developer,technical recruiter,"['ahmedabad', 'mumbai', 'surat']",600000.0,1200000.0,900000.0,"full time, permanent",2,7,b.tech/b.e.,m.tech,Not Specified,"['.net', '.net core', 'angular', 'api', 'asp.net', 'asp.net core', 'asp.net mvc', 'c#', 'c++', 'core network', 'css', 'dot net automation', 'dotnet development', 'excel', 'framework', 'full stack', 'fullstack development', 'html', 'html5b', 'javascript', 'linq', 'net development', 'net fullstack', 'sql', 'sql server', 'web api', 'word']",it services and consulting,engineering - software and qa,software development,08-09-2024,1,483,
565,front end developer,it services & consulting,['gurgaon'],,,,"full time, permanent",5,9,b.tech/b.e.,any postgraduate,ph.d/doctorate,"['css', 'git', 'html', 'javascript', 'jquery', 'mern stack', 'next js', 'react js', 'redux', 'typescript']",it services and consulting,engineering - software and qa,software development,28-08-2024,,383,
566,software development - other,"qualcomm technologies, inc",['hyderabad'],,,,"full time, permanent",3,5,b.tech/b.e.,any postgraduate,Not Specified,"['application development', 'data structures', 'html', 'information technology', 'mysql', 'oracle', 'staffing', 'vmware', 'xml']",telecom / isp,engineering - software and qa,software development,22-08-2024,1,173,4.0
567,it support - other,y&l consulting,['hyderabad'],1000000.0,2000000.0,1500000.0,"full time, permanent",10,20,Any Graduate,Not Specified,Not Specified,"['.net', 'full stack', 'react.js', 'sql', 'web api']",it services and consulting,it and information security,it support,27-08-2024,10,194,
568,software development - other,accolite software india pvt ltd,['hyderabad'],,,,"full time, permanent",4,7,Any Graduate,any postgraduate,Not Specified,"['agile development', 'automation', 'design development', 'mongodb', 'mysql', 'nosql', 'oracle', 'spring', 'technical design', 'test driven development']",it services and consulting,engineering - software and qa,software development,10-08-2024,1,88,3.6
570,software development - other,edgeverve systems,"['bangalore', 'chennai', 'hyderabad']",,,,"full time, permanent",6,11,b.tech/b.e.,m.tech,Not Specified,"['devops', 'django', 'python']",it services and consulting,engineering - software and qa,software development,08-09-2024,1,107,3.6
571,back end developer,bytesview analytics,"['delhi', 'noida']",300000.0,800000.0,550000.0,"full time, permanent",0,4,b.tech/b.e.,Not Specified,Not Specified,"['django', 'flask', 'git', 'html5', 'javascript', 'mongodb', 'mvc', 'oops', 'python', 'redis', 'web scraping', 'web technologies']",it services and consulting,engineering - software and qa,software development,09-09-2024,1,2354,
572,software development - other,wipro,"['bangalore', 'chennai', 'hyderabad']",900000.0,1900000.0,1400000.0,"full time, permanent",7,12,Any Graduate,Not Specified,Not Specified,"['ai/ ml experience', 'django', 'docker', 'flask', 'html5', 'kubernetes', 'mysql', 'oops', 'openshift', 'python', 'python api', 'reactjs', 'sql']",it services and consulting,engineering - software and qa,software development,10-09-2024,10,14,
573,full stack developer,capgemini,"['bangalore', 'pune']",,,,"full time, permanent",6,9,Any Graduate,any postgraduate,Not Specified,"['data manipulation', 'data optimization', 'numerical analysis', 'numpy', 'pandas', 'python', 'python development']",it services and consulting,engineering - software and qa,software development,09-09-2024,,24,3.8
574,full stack developer,2coms,['bangalore'],800000.0,1200000.0,1000000.0,"full time, permanent",3,8,b.tech/b.e.,mca,Not Specified,"['aws', 'collaboration', 'communication skills', 'css', 'dask', 'data science', 'django', 'flask', 'front', 'gcp', 'html', 'javascript', 'machine learning', 'microsoft azure', 'nltk', 'nosql', 'numpy', 'pandas', 'pyramid', 'python', 'python development', 'python framework', 'pytorch', 'sci', 'scipy', 'software development', 'spacy', 'sql', 'stack', 'troubleshooting']",it services and consulting,engineering - software and qa,software development,08-09-2024,,1003,3.9
575,full stack developer,visionyle solutions,['hyderabad'],,,,"full time, permanent",5,8,Any Graduate,any postgraduate,ph.d/doctorate,"['debugging', 'mongo db', 'python developer', 'python development', 'robot framework', 'selenium', 'software development', 'system design', 'testing']",it services and consulting,engineering - software and qa,software development,08-09-2024,,130,3.9
576,full stack developer,client server tech,['hyderabad'],,,,"full time, permanent",3,8,Any Graduate,Not Specified,Not Specified,"['django', 'pandas', 'python', 'sql']",it services and consulting,engineering - software and qa,software development,08-09-2024,3,748,3.4
577,full stack developer,hipaas infotech,['thane'],,,,"full time, permanent",1,2,Any Graduate,Not Specified,Not Specified,"['docker', 'flask web framework', 'neo4j', 'python', 'soap', 'web services']",it services and consulting,engineering - software and qa,software development,09-09-2024,2,97,4.0
579,full stack developer,avezys software solutions,['bangalore'],275000.0,650000.0,462500.0,"full time, permanent",0,3,Any Graduate,Not Specified,Not Specified,"['automation testing', 'css', 'django', 'flask', 'html', 'numpy', 'oops', 'pycharm', 'pytest', 'python', 'pyunit', 'sql', 'unix']",it services and consulting,engineering - software and qa,software development,09-09-2024,8,2908,
580,back end developer,msys technologies,"['bangalore', 'chennai', 'pune']",,,,"full time, permanent",7,12,b.tech/b.e.,m.tech,Not Specified,"['api', 'django', 'flask', 'numpy', 'pandas', 'python']",it services and consulting,engineering - software and qa,software development,08-09-2024,1,173,3.9
581,full stack developer,capgemini,['hyderabad'],,,,"full time, permanent",4,9,Any Graduate,any postgraduate,Not Specified,"['aws', 'cloud', 'css', 'django', 'flask', 'html', 'javascript', 'python', 'python development']",it services and consulting,engineering - software and qa,software development,02-09-2024,,163,3.8
582,back end developer,msys technologies,['chennai'],,,,"full time, permanent",7,12,b.tech/b.e.,Not Specified,Not Specified,"['django', 'docker', 'flask', 'kubernetes', 'pyramid', 'python development']",it services and consulting,engineering - software and qa,software development,09-09-2024,1,16,3.9
